AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4234.231,4205.128,4238.462,4276.154,4391.667,4344.615,4348.974,4215.641,4215.769,4239.487,4325.897,4240.0,4363.205,4331.41,7.56
4229.872,4213.077,4236.923,4267.821,4397.308,4345.641,4351.41,4230.0,4221.41,4282.564,4323.718,4238.59,4342.949,4314.487,7.56
4233.718,4226.41,4235.385,4271.026,4396.795,4344.487,4350.769,4166.923,4201.026,4319.487,4338.974,4267.564,4342.821,4315.128,7.56
4227.692,4225.641,4231.923,4275.0,4392.821,4347.179,4350.385,4180.128,4248.077,4330.641,4348.974,4287.308,4319.359,4323.974,7.56
4227.692,4232.436,4232.821,4270.513,4392.436,4342.692,4346.026,4071.538,4093.718,4348.974,4343.846,4277.436,4318.333,4342.179,7.56
4230.128,4236.923,4242.564,4271.538,4392.564,4339.359,4344.103,3968.846,3951.667,4350.385,4343.974,4280.769,4327.821,4357.179,7.56
4223.077,4233.462,4241.154,4268.59,4392.051,4340.897,4341.026,3984.231,3986.026,4332.564,4347.949,4280.641,4341.41,4363.974,7.56
4241.667,4230.641,4244.103,4271.795,4395.641,4348.462,4341.026,4011.923,4018.462,4323.462,4340.769,4277.179,4353.974,4374.231,7.56
4242.564,4220.128,4238.974,4264.872,4395.0,4352.308,4343.205,3985.0,3978.846,4290.513,4332.821,4264.103,4378.333,4382.564,7.56
4244.103,4230.0,4244.359,4277.949,4393.718,4355.256,4348.205,4013.333,4014.615,4250.513,4330.128,4254.359,4382.564,4392.308,7.56
4224.487,4219.872,4237.821,4271.923,4394.744,4359.359,4351.154,3968.59,3969.615,4240.256,4324.231,4242.949,4408.205,4392.564,7.56
4242.564,4246.923,4238.718,4279.487,4393.846,4357.179,4348.462,4027.821,4025.385,4219.487,4314.744,4236.026,4413.205,4384.487,7.56
4235.769,4230.897,4233.462,4280.0,4391.667,4357.179,4347.308,4218.718,4219.872,4188.59,4301.026,4206.154,4389.487,4361.026,7.56
4235.385,4218.205,4237.308,4281.923,4394.872,4359.231,4349.487,4253.077,4253.974,4199.744,4301.154,4204.487,4369.231,4350.256,7.56
4225.0,4195.769,4233.205,4272.179,4396.538,4359.359,4350.513,4191.41,4191.154,4208.846,4312.949,4227.179,4370.641,4339.615,7.56
4233.974,4217.564,4239.231,4275.897,4391.154,4354.359,4345.256,4221.026,4219.744,4225.897,4318.333,4239.615,4365.256,4340.385,7.56
4222.051,4206.282,4231.667,4265.897,4391.538,4357.179,4345.769,4215.128,4215.128,4271.41,4317.949,4237.949,4349.359,4327.179,7.56
4229.359,4210.513,4234.103,4269.231,4392.436,4352.308,4340.128,4204.103,4205.769,4313.846,4340.0,4265.897,4346.026,4319.872,7.56
4230.897,4213.718,4233.718,4270.385,4392.564,4346.538,4335.128,4246.41,4247.949,4330.641,4346.026,4282.051,4326.795,4318.59,7.56
4228.59,4226.923,4229.487,4271.282,4394.487,4344.615,4334.103,4080.641,4080.641,4347.692,4338.077,4277.821,4329.872,4333.974,7.56
4224.615,4232.564,4234.872,4272.692,4397.949,4353.205,4337.436,3950.513,3950.256,4346.538,4341.923,4282.436,4326.795,4350.897,7.56
4221.667,4237.179,4241.154,4271.154,4396.41,4351.154,4330.128,3991.41,3991.538,4345.0,4347.051,4279.615,4333.333,4362.949,7.56
4234.872,4237.179,4246.795,4277.564,4394.615,4345.769,4329.103,4016.282,4015.256,4342.179,4338.205,4274.744,4348.846,4376.282,7.56
4236.923,4231.41,4243.718,4271.154,4392.436,4352.821,4334.231,3978.846,3977.692,4298.974,4332.949,4264.744,4374.744,4385.769,7.56
4245.769,4238.077,4252.051,4277.821,4389.103,4363.462,4335.897,4015.256,4016.282,4255.256,4330.128,4258.462,4378.974,4389.872,7.56
4228.974,4224.103,4242.564,4270.641,4389.744,4363.205,4338.333,3965.128,3966.667,4238.077,4321.282,4241.026,4398.077,4385.513,7.56
4236.026,4244.615,4241.538,4279.359,4394.103,4359.615,4342.308,4037.821,4037.179,4209.231,4312.821,4226.667,4399.872,4380.641,7.56
4225.385,4238.333,4239.487,4274.359,4393.974,4363.59,4341.026,4229.615,4228.205,4186.667,4300.385,4203.974,4392.179,4365.385,7.56
4240.256,4231.026,4241.026,4274.872,4392.949,4365.769,4341.667,4249.231,4249.872,4200.385,4298.846,4207.821,4375.897,4352.949,7.56
4232.308,4198.205,4231.538,4271.41,4394.487,4363.333,4348.974,4188.59,4187.949,4199.231,4312.436,4222.564,4367.564,4339.231,7.56
4234.103,4223.077,4238.846,4277.821,4396.41,4358.205,4345.897,4224.103,4223.077,4220.897,4319.744,4235.641,4362.179,4339.103,7.56
4224.872,4221.923,4230.769,4265.769,4398.205,4360.256,4344.615,4212.051,4213.718,4275.769,4317.564,4243.205,4352.308,4325.385,7.56
4232.949,4219.872,4231.923,4270.128,4394.744,4351.795,4344.231,4210.256,4208.974,4311.282,4332.179,4264.487,4345.769,4320.385,7.56
4224.231,4210.897,4233.077,4270.0,4393.59,4344.103,4343.846,4245.128,4240.128,4322.564,4336.538,4269.231,4325.256,4315.769,7.56
4225.256,4228.974,4233.718,4272.949,4393.462,4341.026,4340.513,4067.821,4066.41,4343.077,4342.564,4282.564,4326.282,4326.41,7.56
4220.897,4226.667,4234.359,4275.128,4392.949,4340.128,4343.462,3948.718,3949.103,4340.385,4352.564,4302.436,4324.744,4342.179,7.56
4220.897,4228.205,4240.641,4274.744,4392.949,4335.128,4340.385,3996.154,3996.154,4342.821,4349.359,4288.205,4335.641,4356.667,7.56
4235.256,4229.487,4248.077,4278.077,4392.821,4343.462,4340.256,4013.462,4014.103,4348.974,4336.795,4271.667,4349.872,4370.256,7.56
4236.923,4232.436,4239.744,4275.256,4391.923,4348.077,4343.974,3978.974,3979.487,4302.692,4334.487,4264.487,4373.077,4384.744,7.56
4242.436,4239.359,4242.564,4283.077,4395.256,4347.564,4347.692,4016.538,4015.897,4250.256,4331.282,4255.897,4378.462,4392.051,7.56
4230.385,4228.59,4240.256,4274.359,4395.769,4350.385,4349.487,3964.103,3963.974,4238.462,4323.718,4240.128,4395.769,4388.846,7.56
4242.821,4248.462,4243.718,4283.333,4391.923,4352.436,4349.615,4048.974,4049.872,4214.359,4316.667,4231.667,4391.41,4382.436,7.56
4231.923,4230.513,4238.205,4277.564,4393.077,4353.205,4348.718,4234.231,4234.744,4186.795,4301.667,4205.513,4386.538,4365.385,7.56
4236.282,4220.641,4240.769,4273.59,4396.282,4352.821,4349.359,4246.923,4245.513,4196.667,4301.923,4210.128,4381.795,4349.872,7.56
4224.359,4203.333,4233.718,4264.487,4393.077,4350.769,4351.282,4189.615,4186.923,4197.821,4316.026,4228.077,4383.846,4338.718,7.56
4232.564,4218.846,4238.718,4270.513,4391.923,4349.872,4354.744,4226.923,4224.103,4216.026,4316.41,4233.718,4366.282,4344.359,7.56
4220.513,4191.667,4230.513,4265.385,4394.615,4354.103,4360.0,4210.256,4206.923,4259.615,4312.436,4232.821,4349.872,4330.0,7.56
4231.923,4210.256,4236.282,4275.128,4393.462,4344.359,4351.026,4214.744,4213.462,4296.795,4330.256,4258.333,4352.692,4319.231,7.56
4230.128,4230.256,4236.667,4269.359,4394.744,4337.308,4345.641,4237.308,4238.333,4321.667,4336.282,4269.872,4332.179,4311.538,7.56
4231.538,4250.897,4235.897,4271.026,4398.205,4338.846,4346.41,4055.513,4055.897,4344.872,4340.0,4283.205,4319.359,4327.308,7.56
4217.308,4242.051,4233.718,4271.795,4398.59,4345.897,4346.795,3947.949,3950.256,4338.59,4349.615,4294.103,4320.0,4342.821,7.56
4216.923,4239.359,4238.59,4275.641,4395.0,4342.949,4340.128,3997.821,4001.41,4343.333,4351.41,4279.231,4339.231,4355.897,7.56
4232.051,4231.154,4245.0,4278.974,4395.256,4345.256,4345.513,4011.282,4010.385,4345.513,4340.256,4267.564,4352.821,4370.256,7.56
4237.179,4235.0,4240.513,4276.923,4396.154,4348.205,4349.487,3980.513,3979.872,4296.538,4334.103,4265.769,4373.205,4381.026,7.56
4246.795,4231.538,4243.205,4286.41,4394.103,4351.667,4347.051,4012.179,4015.641,4254.359,4329.487,4259.359,4377.949,4386.282,7.56
4241.41,4214.744,4237.821,4276.154,4389.615,4353.462,4345.769,3965.897,3962.308,4246.667,4325.897,4243.205,4393.205,4389.615,7.56
4239.359,4244.872,4240.0,4278.974,4390.385,4355.385,4347.821,4057.179,4062.564,4216.026,4313.59,4232.821,4393.718,4384.615,7.56
4218.077,4250.385,4235.385,4274.359,4393.077,4356.41,4347.051,4210.513,4241.795,4192.949,4297.436,4209.487,4401.795,4366.538,7.56
4234.615,4236.795,4235.641,4276.538,4394.744,4359.103,4348.077,4218.718,4241.41,4193.462,4300.513,4212.949,4391.795,4352.564,7.56
